No.,Card No,Employee ID,User name,Date,Time,Terminal,IN/OUT,Door
1,Card,2101,Name,2022-09-04,08:24:08,Terminal,In/Out,Door
2,Card,0081,Name,2022-09-04,08:30:48,Terminal,In/Out,Door
3,Card,0346,Name,2022-09-04,08:41:05,Terminal,In/Out,Door
4,Card,5019,Name,2022-09-04,08:41:13,Terminal,In/Out,Door
5,Card,0318,Name,2022-09-04,08:50:22,Terminal,In/Out,Door
6,Card,0317,Name,2022-09-04,08:52:05,Terminal,In/Out,Door
7,Card,0361,Name,2022-09-04,08:52:21,Terminal,In/Out,Door
8,Card,0324,Name,2022-09-04,09:01:20,Terminal,In/Out,Door
9,Card,0355,Name,2022-09-04,09:01:25,Terminal,In/Out,Door
10,Card,3028,Name,2022-09-04,09:02:22,Terminal,In/Out,Door
11,Card,0362,Name,2022-09-04,09:03:14,Terminal,In/Out,Door
12,Card,0340,Name,2022-09-04,09:05:50,Terminal,In/Out,Door
13,Card,0335,Name,2022-09-04,09:05:59,Terminal,In/Out,Door
14,Card,0359,Name,2022-09-04,09:06:32,Terminal,In/Out,Door
15,Card,0341,Name,2022-09-04,09:11:39,Terminal,In/Out,Door
16,Card,2103,Name,2022-09-04,09:12:15,Terminal,In/Out,Door
17,Card,2102,Name,2022-09-04,09:12:26,Terminal,In/Out,Door
18,Card,0345,Name,2022-09-04,09:12:42,Terminal,In/Out,Door
19,Card,5047,Name,2022-09-04,09:13:25,Terminal,In/Out,Door
20,Card,0022,Name,2022-09-04,09:15:25,Terminal,In/Out,Door
21,Card,0350,Name,2022-09-04,09:20:11,Terminal,In/Out,Door
22,Card,0362,Name,2022-09-04,09:27:04,Terminal,In/Out,Door
23,Card,0362,Name,2022-09-04,09:27:23,Terminal,In/Out,Door
24,Card,0319,Name,2022-09-04,09:38:39,Terminal,In/Out,Door
25,Card,5047,Name,2022-09-04,10:03:20,Terminal,In/Out,Door
26,Card,0275,Name,2022-09-04,10:14:07,Terminal,In/Out,Door
27,Card,0314,Name,2022-09-04,10:25:12,Terminal,In/Out,Door
28,Card,0318,Name,2022-09-04,11:17:19,Terminal,In/Out,Door
29,Card,0341,Name,2022-09-04,11:27:18,Terminal,In/Out,Door
30,Card,0318,Name,2022-09-04,11:27:47,Terminal,In/Out,Door
31,Card,0022,Name,2022-09-04,12:17:42,Terminal,In/Out,Door
32,Card,4014,Name,2022-09-04,12:57:23,Terminal,In/Out,Door
33,Card,0324,Name,2022-09-04,13:55:25,Terminal,In/Out,Door
34,Card,2103,Name,2022-09-04,14:00:32,Terminal,In/Out,Door
35,Card,2101,Name,2022-09-04,14:24:52,Terminal,In/Out,Door
36,Card,2101,Name,2022-09-04,14:35:14,Terminal,In/Out,Door
37,Card,0324,Name,2022-09-04,14:54:35,Terminal,In/Out,Door
38,Card,5047,Name,2022-09-04,16:12:02,Terminal,In/Out,Door
39,Card,5047,Name,2022-09-04,16:30:53,Terminal,In/Out,Door
40,Card,0364,Name,2022-09-04,17:10:07,Terminal,In/Out,Door
41,Card,0364,Name,2022-09-04,17:10:10,Terminal,In/Out,Door
42,Card,0364,Name,2022-09-04,17:12:05,Terminal,In/Out,Door
43,Card,0364,Name,2022-09-04,17:15:04,Terminal,In/Out,Door
44,Card,0364,Name,2022-09-04,17:15:07,Terminal,In/Out,Door
45,Card,5019,Name,2022-09-04,17:17:25,Terminal,In/Out,Door
46,Card,0364,Name,2022-09-04,17:29:58,Terminal,In/Out,Door
47,Card,0359,Name,2022-09-04,17:59:09,Terminal,In/Out,Door
48,Card,0361,Name,2022-09-04,18:07:14,Terminal,In/Out,Door
49,Card,0362,Name,2022-09-04,18:16:39,Terminal,In/Out,Door
50,Card,5039,Name,2022-09-04,05:57:04,Terminal,In/Out,Door
51,Card,0114,Name,2022-09-04,07:41:41,Terminal,In/Out,Door
52,Card,0114,Name,2022-09-04,07:42:31,Terminal,In/Out,Door
53,Card,0267,Name,2022-09-04,07:43:09,Terminal,In/Out,Door
54,Card,2101,Name,2022-09-04,08:23:06,Terminal,In/Out,Door
55,Card,0081,Name,2022-09-04,08:29:53,Terminal,In/Out,Door
56,Card,0346,Name,2022-09-04,08:40:04,Terminal,In/Out,Door
57,Card,5019,Name,2022-09-04,08:40:23,Terminal,In/Out,Door
58,Card,0318,Name,2022-09-04,08:49:17,Terminal,In/Out,Door
59,Card,0318,Name,2022-09-04,08:49:23,Terminal,In/Out,Door
